attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,Result,Home Team Pre-Match xG,Away Team Pre-Match xG
74439,Manchester United,Leicester City,Andre Marriner,1,0.00,0.00,1.89,1.32,2,1,0,0.00,0.00
51749,Newcastle United,Tottenham Hotspur,Martin Atkinson,1,0.00,0.00,1.32,1.74,1,2,1,0.00,0.00
10353,AFC Bournemouth,Cardiff City,Kevin Friend,1,0.00,0.00,1.53,0.74,2,0,0,0.00,0.00
24821,Fulham,Crystal Palace,Mike Dean,1,0.00,0.00,1.11,1.53,0,2,1,0.00,0.00
24121,Huddersfield Town,Chelsea,Chris Kavanagh,1,0.00,0.00,0.47,1.58,0,3,1,0.00,0.00
20051,Watford,Brighton & Hove Albion,Jonathan Moss,1,0.00,0.00,1.42,0.68,2,0,0,0.00,0.00
31231,Wolverhampton Wanderers,Everton,Craig Pawson,1,0.00,0.00,1.79,1.05,2,2,2,0.00,0.00
53235,Liverpool,West Ham United,Anthony Taylor,1,0.00,0.00,2.79,1.11,4,0,0,0.00,0.00
30784,Southampton,Burnley,Graham Scott,1,0.00,0.00,1.21,0.89,0,0,2,0.00,0.00
59934,Arsenal,Manchester City,Michael Oliver,1,0.00,0.00,2.37,2.32,0,2,1,0.00,0.00
30720,Cardiff City,Newcastle United,Craig Pawson,2,0.00,0.00,1.05,1.05,0,0,2,0.00,0.00
38601,Everton,Southampton,Lee Mason,2,0.00,0.00,1.79,0.84,2,1,0,0.00,0.00
32043,Leicester City,Wolverhampton Wanderers,Mike Dean,2,0.00,0.00,1.42,1.21,2,0,0,0.00,0.00
58297,Tottenham Hotspur,Fulham,Anthony Taylor,2,0.00,0.00,2.00,0.26,3,1,0,0.00,0.00
56888,West Ham United,AFC Bournemouth,Stuart Attwell,2,0.00,0.00,1.63,0.84,1,2,1,0.00,0.00
40491,Chelsea,Arsenal,Martin Atkinson,2,0.00,0.00,2.21,1.32,3,2,0,0.00,0.00
18822,Burnley,Watford,Paul Tierney,2,0.00,0.00,1.21,1.21,1,3,1,0.00,0.00
54021,Manchester City,Huddersfield Town,Andre Marriner,2,0.00,0.00,2.84,0.37,6,1,0,0.00,0.00
30592,Brighton & Hove Albion,Manchester United,Kevin Friend,2,0.00,0.00,1.21,1.58,3,2,0,0.00,0.00
25750,Crystal Palace,Liverpool,Michael Oliver,2,0.00,0.00,1.05,2.32,0,2,1,0.00,0.00
31222,Wolverhampton Wanderers,Manchester City,Martin Atkinson,3,1.00,3.00,1.79,2.32,1,1,2,1.41,1.91
10654,AFC Bournemouth,Everton,Lee Probert,3,3.00,1.00,1.53,1.05,2,2,2,1.50,1.34
59830,Arsenal,West Ham United,Graham Scott,3,0.00,0.00,2.37,1.11,3,1,0,1.11,0.75
21193,Huddersfield Town,Cardiff City,Michael Oliver,3,0.00,0.00,0.47,0.74,0,0,2,0.90,0.89
29925,Southampton,Leicester City,Jonathan Moss,3,1.00,0.00,1.21,1.32,1,2,1,1.29,1.46
53294,Liverpool,Brighton & Hove Albion,Chris Kavanagh,3,3.00,0.00,2.79,0.68,1,0,0,2.12,0.65
20014,Watford,Crystal Palace,Anthony Taylor,3,3.00,3.00,1.42,1.53,2,1,0,1.78,1.81
23438,Fulham,Burnley,David Coote,3,0.00,1.00,1.11,0.89,4,2,0,1.67,1.69
51791,Newcastle United,Chelsea,Paul Tierney,3,0.00,3.00,1.32,1.58,1,2,1,1.18,1.17
74400,Manchester United,Tottenham Hotspur,Craig Pawson,3,3.00,3.00,1.89,1.74,0,3,1,1.25,1.58
32149,Leicester City,Liverpool,Paul Tierney,4,3.00,3.00,1.42,2.32,1,2,1,0.81,1.70
30526,Brighton & Hove Albion,Fulham,Lee Probert,4,3.00,0.00,1.21,0.26,2,2,2,0.97,1.04
40178,Chelsea,AFC Bournemouth,Lee Mason,4,3.00,3.00,2.21,0.84,2,0,0,2.47,1.31
25495,Crystal Palace,Southampton,Martin Atkinson,4,0.00,0.00,1.05,0.84,0,2,1,1.03,1.33
38767,Everton,Huddersfield Town,Stuart Attwell,4,3.00,0.00,1.79,0.37,1,1,2,1.69,0.59
59947,West Ham United,Wolverhampton Wanderers,Chris Kavanagh,4,0.00,0.00,1.63,1.21,0,1,1,1.39,1.53
53946,Manchester City,Newcastle United,Kevin Friend,4,3.00,1.00,2.84,1.05,2,1,0,3.23,1.22
32316,Cardiff City,Arsenal,Anthony Taylor,4,1.00,0.00,1.05,1.32,2,3,1,1.03,1.61
21525,Burnley,Manchester United,Jonathan Moss,4,0.00,0.00,1.21,1.58,0,2,1,1.09,1.06
20141,Watford,Tottenham Hotspur,Andre Marriner,4,3.00,3.00,1.42,1.74,2,1,0,1.64,1.34
80188,Tottenham Hotspur,Liverpool,Michael Oliver,5,3.00,3.00,2.00,2.32,1,2,1,2.75,1.46
10543,AFC Bournemouth,Leicester City,Craig Pawson,5,2.00,1.50,1.53,1.32,4,2,0,1.63,1.35
40499,Chelsea,Cardiff City,Jonathan Moss,5,3.00,0.50,2.21,0.74,4,1,0,2.16,1.18
23696,Huddersfield Town,Crystal Palace,Lee Mason,5,0.50,1.50,0.47,1.53,0,1,1,0.83,1.51
53307,Manchester City,Fulham,Stuart Attwell,5,3.00,0.50,2.84,0.26,3,0,0,2.79,1.13
52165,Newcastle United,Arsenal,Lee Probert,5,0.00,1.50,1.32,1.32,1,2,1,0.93,1.98
20537,Watford,Manchester United,Mike Dean,5,3.00,1.50,1.42,1.58,1,2,1,1.47,1.56
30406,Wolverhampton Wanderers,Burnley,Andre Marriner,5,1.00,0.50,1.79,0.89,1,0,0,1.18,1.38
39161,Everton,West Ham United,Martin Atkinson,5,2.00,0.00,1.79,1.11,1,3,1,1.38,1.10
27742,Southampton,Brighton & Hove Albion,Anthony Taylor,5,0.50,0.00,1.21,0.68,2,2,2,1.42,0.71
23418,Fulham,Watford,Martin Atkinson,6,1.50,3.00,1.11,1.21,1,1,2,2.16,1.25
18636,Burnley,AFC Bournemouth,Anthony Taylor,6,0.00,1.50,1.21,0.84,4,0,0,1.11,1.16
32321,Cardiff City,Manchester City,Michael Oliver,6,0.50,2.00,1.05,2.32,0,5,1,1.26,1.88
25679,Crystal Palace,Newcastle United,Andre Marriner,6,0.00,0.50,1.05,1.05,0,0,2,1.43,0.92
31676,Leicester City,Huddersfield Town,David Coote,6,1.50,0.50,1.42,0.37,3,1,0,1.10,0.96
50965,Liverpool,Southampton,Paul Tierney,6,3.00,1.50,2.79,0.84,3,0,0,2.19,1.50
74489,Manchester United,Wolverhampton Wanderers,Kevin Friend,6,1.50,1.50,1.89,1.21,1,1,2,1.63,1.64
30531,Brighton & Hove Albion,Tottenham Hotspur,Chris Kavanagh,6,2.00,2.00,1.21,1.74,1,2,1,1.33,1.38
56875,West Ham United,Chelsea,Mike Dean,6,0.00,3.00,1.63,1.58,0,0,2,1.35,1.43
59964,Arsenal,Everton,Jonathan Moss,6,1.50,1.00,2.37,1.05,2,0,0,1.56,1.25
56938,West Ham United,Manchester United,Michael Oliver,7,0.33,2.00,1.63,1.58,3,1,0,1.14,1.50
60019,Arsenal,Watford,Anthony Taylor,7,2.00,2.00,2.37,1.21,2,0,0,1.47,1.40
38788,Everton,Fulham,Roger East,7,1.33,0.33,1.79,0.26,3,0,0,1.42,1.11
23885,Huddersfield Town,Tottenham Hotspur,Craig Pawson,7,0.33,2.25,0.47,1.74,0,2,1,1.03,1.46
54152,Manchester City,Brighton & Hove Albion,Lee Mason,7,3.00,0.33,2.84,0.68,2,0,0,2.66,0.89
51523,Newcastle United,Leicester City,Simon Hooper,7,0.00,1.00,1.32,1.32,0,2,1,0.85,1.51
31147,Wolverhampton Wanderers,Southampton,Stuart Attwell,7,1.67,1.00,1.79,0.84,2,0,0,1.59,1.20
40625,Chelsea,Liverpool,Andre Marriner,7,3.00,3.00,2.21,2.32,1,1,2,2.06,1.61
30411,Cardiff City,Burnley,Martin Atkinson,7,0.33,0.33,1.05,0.89,1,2,1,1.02,1.24
10199,AFC Bournemouth,Crystal Palace,Mike Dean,7,2.33,2.00,1.53,1.53,2,1,0,1.47,1.24
30544,Brighton & Hove Albion,West Ham United,Kevin Friend,8,1.33,1.00,1.21,1.11,1,0,0,1.24,1.11
20533,Burnley,Huddersfield Town,Chris Kavanagh,8,1.00,0.33,1.21,0.37,1,1,2,1.15,0.95
25715,Crystal Palace,Wolverhampton Wanderers,Michael Oliver,8,0.33,1.33,1.05,1.21,0,1,1,1.48,1.66
32007,Leicester City,Everton,Andre Marriner,8,2.00,0.67,1.42,1.05,1,2,1,1.37,1.32
43268,Tottenham Hotspur,Cardiff City,Mike Dean,8,1.50,0.33,2.00,0.74,1,0,0,1.89,1.09
20139,Watford,AFC Bournemouth,Jonathan Moss,8,2.25,1.00,1.42,0.84,0,4,1,1.45,1.31
74519,Manchester United,Newcastle United,Anthony Taylor,8,1.33,0.67,1.89,1.05,3,2,0,1.61,0.93
25401,Fulham,Arsenal,Paul Tierney,8,1.33,2.00,1.11,1.32,1,5,1,1.86,1.68
27077,Southampton,Chelsea,Craig Pawson,8,0.67,2.33,1.21,1.58,0,3,1,1.45,1.59
52117,Liverpool,Manchester City,Martin Atkinson,8,3.00,2.33,2.79,2.32,0,0,2,1.93,1.96
40721,Chelsea,Manchester United,Mike Dean,9,2.50,1.50,2.21,1.58,2,2,2,1.84,1.42
10986,AFC Bournemouth,Southampton,Lee Probert,9,2.50,0.75,1.53,0.84,0,0,2,1.45,1.27
29681,Cardiff City,Fulham,Kevin Friend,9,0.25,0.25,1.05,0.26,4,2,0,1.25,0.99
54094,Manchester City,Burnley,Jonathan Moss,9,3.00,1.00,2.84,0.89,5,0,0,2.68,1.11
50329,Newcastle United,Brighton & Hove Albion,Andre Marriner,9,0.00,0.25,1.32,0.68,0,1,1,0.82,0.78
56921,West Ham United,Tottenham Hotspur,Martin Atkinson,9,1.00,2.40,1.63,1.74,0,1,1,1.14,1.45
31144,Wolverhampton Wanderers,Watford,Lee Mason,9,2.00,1.33,1.79,1.21,0,2,1,1.59,1.45
24263,Huddersfield Town,Liverpool,Michael Oliver,9,0.25,2.50,0.47,2.32,0,1,1,1.12,1.65
38668,Everton,Crystal Palace,Anthony Taylor,9,1.75,1.50,1.79,1.53,2,0,0,1.48,1.19
59886,Arsenal,Leicester City,Chris Kavanagh,9,2.25,1.50,2.37,1.32,3,1,0,1.41,1.48
30654,Brighton & Hove Albion,Wolverhampton Wanderers,Anthony Taylor,10,1.75,1.75,1.21,1.21,1,0,0,1.27,1.48
25071,Fulham,AFC Bournemouth,Andre Marriner,10,1.00,1.50,1.11,0.84,0,3,1,1.78,1.38
53373,Liverpool,Cardiff City,Stuart Attwell,10,2.50,0.25,2.79,0.74,4,1,0,1.69,1.16
30736,Southampton,Newcastle United,Chris Kavanagh,10,0.50,0.50,1.21,1.05,0,0,2,1.48,1.15
20457,Watford,Huddersfield Town,Mike Dean,10,1.80,0.50,1.42,0.37,3,0,0,1.34,1.04
31848,Leicester City,West Ham United,Michael Oliver,10,1.50,0.75,1.42,1.11,1,1,2,1.27,1.30
21430,Burnley,Chelsea,Craig Pawson,10,1.00,2.50,1.21,1.58,0,4,1,1.05,1.62
25718,Crystal Palace,Arsenal,Martin Atkinson,10,0.25,2.25,1.05,1.32,2,2,2,1.48,1.65
74525,Manchester United,Everton,Jonathan Moss,10,1.75,1.25,1.89,1.05,2,1,0,1.80,1.47
56854,Tottenham Hotspur,Manchester City,Kevin Friend,10,2.00,2.00,2.00,2.32,0,1,1,1.94,1.70
10792,AFC Bournemouth,Manchester United,Paul Tierney,11,2.20,1.40,1.53,1.58,1,2,1,1.39,1.36
30877,Cardiff City,Leicester City,Lee Probert,11,0.80,1.20,1.05,1.32,0,1,1,1.37,1.36
38966,Everton,Brighton & Hove Albion,David Coote,11,2.00,0.80,1.79,0.68,3,1,0,1.55,0.81
49157,Newcastle United,Watford,Craig Pawson,11,0.00,1.75,1.32,1.21,1,0,0,1.14,1.32
56862,West Ham United,Burnley,Roger East,11,0.80,0.80,1.63,0.89,4,2,0,1.24,0.98
59993,Arsenal,Liverpool,Andre Marriner,11,2.40,2.60,2.37,2.32,1,1,2,1.55,1.52
31185,Wolverhampton Wanderers,Tottenham Hotspur,Mike Dean,11,1.60,2.50,1.79,1.74,2,3,1,1.48,1.36
53916,Manchester City,Southampton,Lee Mason,11,3.00,0.80,2.84,0.84,6,1,0,2.61,1.24
40407,Chelsea,Crystal Palace,Michael Oliver,11,2.20,1.20,2.21,1.53,3,1,0,1.86,1.18
17082,Huddersfield Town,Fulham,Anthony Taylor,11,0.20,0.20,0.47,0.26,1,0,0,1.10,1.03
29402,Cardiff City,Brighton & Hove Albion,Martin Atkinson,12,0.67,0.67,1.05,0.68,2,1,0,1.36,0.80
24069,Huddersfield Town,West Ham United,Chris Kavanagh,12,0.67,0.80,0.47,1.11,1,1,2,1.13,1.27
32184,Leicester City,Burnley,Mike Dean,12,1.40,0.67,1.42,0.89,0,0,2,1.52,0.94
49266,Newcastle United,AFC Bournemouth,Lee Probert,12,0.50,1.80,1.32,0.84,2,1,0,1.11,1.44
28153,Southampton,Watford,Simon Hooper,12,0.60,1.40,1.21,1.21,1,1,2,1.57,1.32
25685,Crystal Palace,Tottenham Hotspur,Jonathan Moss,12,0.40,2.57,1.05,1.74,0,1,1,1.51,1.39
53128,Liverpool,Fulham,Paul Tierney,12,2.60,0.17,2.79,0.26,2,0,0,1.77,0.96
40345,Chelsea,Everton,Kevin Friend,12,2.33,1.00,2.21,1.05,0,0,2,1.85,1.51
60030,Arsenal,Wolverhampton Wanderers,Stuart Attwell,12,2.17,1.40,2.37,1.21,1,1,2,1.54,1.62
54316,Manchester City,Manchester United,Anthony Taylor,12,3.00,1.67,2.84,1.58,3,1,0,2.52,1.46
30553,Brighton & Hove Albion,Leicester City,Chris Kavanagh,13,2.00,1.50,1.21,1.32,1,1,2,1.18,1.38
39139,Everton,Cardiff City,Paul Tierney,13,2.17,0.20,1.79,0.74,1,0,0,1.57,1.03
24603,Fulham,Southampton,Michael Oliver,13,0.80,0.67,1.11,0.84,3,2,0,1.65,1.30
74516,Manchester United,Crystal Palace,Lee Mason,13,2.00,1.00,1.89,1.53,0,0,2,1.83,1.11
20540,Watford,Liverpool,Jonathan Moss,13,2.00,2.33,1.42,2.32,0,3,1,1.40,1.48
56886,West Ham United,Manchester City,Andre Marriner,13,1.17,2.20,1.63,2.32,0,4,1,1.43,1.66
55465,Tottenham Hotspur,Chelsea,Martin Atkinson,13,1.50,2.60,2.00,1.58,3,1,0,1.64,1.71
10792,AFC Bournemouth,Arsenal,Craig Pawson,13,1.83,2.00,1.53,1.32,1,2,1,1.43,1.50
30130,Wolverhampton Wanderers,Huddersfield Town,Kevin Friend,13,1.33,0.40,1.79,0.37,0,2,1,1.53,1.15
20628,Burnley,Newcastle United,Anthony Taylor,13,0.80,0.60,1.21,1.05,1,2,1,1.01,1.05
30213,Cardiff City,Wolverhampton Wanderers,Andre Marriner,14,1.00,1.33,1.05,1.21,2,1,0,1.43,1.58
25098,Crystal Palace,Burnley,Lee Probert,14,0.33,0.71,1.05,0.89,2,0,0,1.51,0.91
22973,Huddersfield Town,Brighton & Hove Albion,Michael Oliver,14,0.71,0.57,0.47,0.68,1,2,1,1.23,0.80
31353,Leicester City,Watford,Graham Scott,14,1.33,1.33,1.42,1.21,2,0,0,1.59,1.35
54409,Manchester City,AFC Bournemouth,Stuart Attwell,14,3.00,1.50,2.84,0.84,3,1,0,2.40,1.43
51853,Newcastle United,West Ham United,Paul Tierney,14,0.86,0.83,1.32,1.11,0,3,1,1.20,1.30
30187,Southampton,Manchester United,Kevin Friend,14,0.67,1.43,1.21,1.58,2,2,2,1.54,1.34
40551,Chelsea,Fulham,Craig Pawson,14,2.14,0.14,2.21,0.26,2,0,0,1.80,0.97
59973,Arsenal,Tottenham Hotspur,Mike Dean,14,2.00,2.63,2.37,1.74,4,2,0,1.52,1.37
51756,Liverpool,Everton,Chris Kavanagh,14,2.67,1.00,2.79,1.05,1,0,0,1.80,1.36
9980,AFC Bournemouth,Huddersfield Town,Roger East,15,1.57,0.83,1.53,0.37,2,1,0,1.40,1.21
29663,Brighton & Hove Albion,Crystal Palace,Kevin Friend,15,1.83,1.00,1.21,1.53,3,1,0,1.23,1.12
56811,West Ham United,Cardiff City,Graham Scott,15,1.00,0.17,1.63,0.74,3,1,0,1.36,0.99
20389,Watford,Manchester City,Paul Tierney,15,1.71,2.33,1.42,2.32,1,2,1,1.31,1.62
21741,Burnley,Liverpool,Stuart Attwell,15,0.67,2.43,1.21,2.32,1,3,1,1.09,1.50
22881,Fulham,Leicester City,David Coote,15,1.17,1.43,1.11,1.32,1,1,2,1.59,1.34
31300,Wolverhampton Wanderers,Chelsea,Jonathan Moss,15,1.14,2.17,1.79,1.58,2,1,0,1.48,1.61
39350,Everton,Newcastle United,Lee Mason,15,2.29,1.00,1.79,1.05,1,1,2,1.63,1.09
74507,Manchester United,Arsenal,Andre Marriner,15,1.83,2.17,1.89,1.32,2,2,2,1.79,1.56
33012,Tottenham Hotspur,Southampton,Anthony Taylor,15,1.80,0.57,2.00,0.84,3,1,0,1.72,1.41
10752,AFC Bournemouth,Liverpool,Lee Mason,16,1.75,2.50,1.53,2.32,0,4,1,1.34,1.59
59893,Arsenal,Huddersfield Town,Paul Tierney,16,2.13,0.71,2.37,0.37,1,0,0,1.60,1.37
18497,Burnley,Brighton & Hove Albion,Martin Atkinson,16,0.57,0.88,1.21,0.68,1,0,0,1.14,0.89
30067,Cardiff City,Southampton,Jonathan Moss,16,1.25,0.50,1.05,0.84,1,0,0,1.43,1.46
74523,Manchester United,Fulham,Lee Probert,16,1.71,0.13,1.89,0.26,4,1,0,1.73,1.00
56995,West Ham United,Crystal Palace,Anthony Taylor,16,1.25,0.88,1.63,1.53,3,2,0,1.45,1.22
40571,Chelsea,Manchester City,Michael Oliver,16,2.25,2.43,2.21,2.32,2,0,0,1.80,1.67
31957,Leicester City,Tottenham Hotspur,Craig Pawson,16,1.57,2.33,1.42,1.74,0,2,1,1.50,1.37
50223,Newcastle United,Wolverhampton Wanderers,Mike Dean,16,0.75,1.14,1.32,1.21,1,2,1,1.25,1.59
38400,Everton,Watford,Kevin Friend,16,2.13,1.14,1.79,1.21,2,2,2,1.65,1.30
54173,Manchester City,Everton,Craig Pawson,17,3.00,0.86,2.84,1.05,3,1,0,2.32,1.32
24738,Crystal Palace,Leicester City,Michael Oliver,17,0.71,1.38,1.05,1.32,1,0,0,1.67,1.36
24036,Huddersfield Town,Newcastle United,Anthony Taylor,17,0.63,1.00,0.47,1.05,0,1,1,1.19,1.10
41645,Tottenham Hotspur,Burnley,Graham Scott,17,2.00,0.63,2.00,0.89,1,0,0,1.71,0.87
20032,Watford,Cardiff City,Andy Madley,17,1.50,0.14,1.42,0.74,3,2,0,1.33,1.02
30997,Wolverhampton Wanderers,AFC Bournemouth,Simon Hooper,17,1.38,1.29,1.79,0.84,2,0,0,1.40,1.32
24081,Fulham,West Ham United,Mike Dean,17,1.14,1.14,1.11,1.11,0,2,1,1.67,1.27
30645,Brighton & Hove Albion,Chelsea,Stuart Attwell,17,2.00,1.86,1.21,1.58,1,2,1,1.19,1.60
29497,Southampton,Arsenal,Chris Kavanagh,17,0.71,2.00,1.21,1.32,3,2,0,1.56,1.50
52908,Liverpool,Manchester United,Martin Atkinson,17,2.71,1.38,2.79,1.58,3,1,0,1.78,1.34
31358,Wolverhampton Wanderers,Liverpool,Craig Pawson,18,1.56,2.56,1.79,2.32,0,2,1,1.37,1.56
59493,Arsenal,Burnley,Kevin Friend,18,2.22,0.56,2.37,0.89,3,1,0,1.57,0.82
10491,AFC Bournemouth,Brighton & Hove Albion,Mike Dean,18,1.56,0.78,1.53,0.68,2,0,0,1.29,0.94
40558,Chelsea,Leicester City,Lee Probert,18,2.33,1.22,2.21,1.32,0,1,1,1.71,1.35
22394,Huddersfield Town,Southampton,Stuart Attwell,18,0.56,0.44,0.47,0.84,1,3,1,1.27,1.41
54340,Manchester City,Crystal Palace,Andre Marriner,18,3.00,0.78,2.84,1.53,2,3,1,2.23,1.22
51237,Newcastle United,Fulham,Martin Atkinson,18,0.67,0.11,1.32,0.26,0,0,2,1.26,1.03
56833,West Ham United,Watford,Lee Mason,18,1.44,1.13,1.63,1.21,0,2,1,1.48,1.31
33028,Cardiff City,Manchester United,Michael Oliver,18,1.44,1.22,1.05,1.58,1,5,1,1.45,1.28
39319,Everton,Tottenham Hotspur,Paul Tierney,18,2.00,2.40,1.79,1.74,2,6,1,1.63,1.33
24382,Fulham,Wolverhampton Wanderers,Andre Marriner,19,1.00,1.38,1.11,1.21,1,1,2,1.67,1.59
21484,Burnley,Everton,Michael Oliver,19,0.88,0.75,1.21,1.05,1,5,1,1.14,1.27
25206,Crystal Palace,Cardiff City,Lee Probert,19,1.00,0.13,1.05,0.74,0,0,2,1.57,1.02
32090,Leicester City,Manchester City,Mike Dean,19,1.38,2.13,1.42,2.32,2,1,0,1.48,1.66
53318,Liverpool,Newcastle United,Graham Scott,19,2.75,1.25,2.79,1.05,4,0,0,1.93,1.10
74523,Manchester United,Huddersfield Town,Jonathan Moss,19,1.88,0.63,1.89,0.37,3,1,0,1.82,1.28
45154,Tottenham Hotspur,AFC Bournemouth,Chris Kavanagh,19,2.14,1.13,2.00,0.84,5,0,0,1.68,1.33
30608,Brighton & Hove Albion,Arsenal,Anthony Taylor,19,1.75,1.75,1.21,1.32,1,1,2,1.15,1.48
20415,Watford,Chelsea,Martin Atkinson,19,1.67,2.00,1.42,1.58,1,2,1,1.40,1.55
